method,np,result,duration,data_size
MPI_Reduce,1,1.000000,0.331922,8
Send-Receive-Vector,1,1.000000,0.303528,80000000
MPI_Reduce,2,1.000000,0.167026,8
Send-Receive-Vector,2,1.000000,0.214762,40000000
MPI_Reduce,3,1.000000,0.093313,8
Send-Receive-Vector,3,1.000000,0.197750,26666664
MPI_Reduce,4,1.000000,0.102960,8
Send-Receive-Vector,4,1.000000,0.161225,20000000
MPI_Reduce,5,1.000000,0.088753,8
Send-Receive-Vector,5,1.000000,0.166439,16000000
MPI_Reduce,6,1.000000,0.068914,8
Send-Receive-Vector,6,1.000000,0.161930,13333328
