method,np,result,duration,data_size,speedup,efficiency
MPI_Reduce,1,1.0,0.307253,8,1.0,1.0
Send-Receive,1,1.0,0.334118,80000000,1.0,1.0
MPI_Reduce,2,1.0,0.151751,8,2.024718123768542,1.012359061884271
Send-Receive,2,1.0,0.216673,40000000,1.5420380019660964,0.7710190009830482
MPI_Reduce,3,1.0,0.115812,8,2.6530325009498155,0.8843441669832718
Send-Receive,3,1.0,0.252784,26666664,1.321752959048041,0.44058431968268036
MPI_Reduce,4,1.0,0.094803,8,3.2409628387287324,0.8102407096821831
Send-Receive,4,1.0,0.201225,20000000,1.6604199279413594,0.41510498198533985
MPI_Reduce,5,1.0,0.080348,8,3.8240279782944193,0.7648055956588838
Send-Receive,5,1.0,0.164983,16000000,2.025166229247862,0.4050332458495724
MPI_Reduce,6,1.0,0.078391,8,3.9194933091809006,0.6532488848634834
Send-Receive,6,1.0,0.218066,13333328,1.5321875028661047,0.25536458381101745
